time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
2015.8750,303.978,303.98,3.3578,0.363203,2.02736,0.0101738,0.00719739,0.0037396,0.00297642,1.318e-05,7.32049e-05,0.00202912,8.36266e-06,2.14369e-06,2.78455e-05,1.96463e-09,8.75127e-05,6.65948e-05,8.62071e-07,7.11555e-09,5.12086e-06,4.2452e-06,13.613,35.9824,8.75437,0.258894,20.551,0.252506,11.0524,0.0104817,0.20049,1.55956,0.230049,-0.286557,0.00133289,0.00509286,-0.525934,0.0105213,0.0169339,0.00477356,0.00290333,-0.525934,0.0155458,2.81632,2.20461,0.000301576,0.0413109,0.000744872,0.00282231,0.00020049,0.000519852,0.0413109,3.44611,1.05064e-05,4.85866,0.210971
2015.9583,303.089,303.142,3.39017,0.37593,1.31403,0.0102366,0.00721988,0.00359097,0.00301677,1.16063e-05,7.19243e-05,0.00204077,7.72411e-06,2.12958e-06,2.77539e-05,2.42524e-09,8.58132e-05,6.77516e-05,8.13819e-07,2.36996e-08,4.94625e-06,4.31668e-06,13.6372,35.9988,8.76288,0.254842,20.5492,0.254707,11.0606,0.0105649,0.202238,1.55749,0.230341,-0.2861,0.00170625,0.00498737,-0.526034,0.010613,0.0169459,0.00481518,0.00289905,-0.526034,0.0155651,2.81638,2.20466,0.000295959,0.0413042,0.000751367,0.00282432,0.000202238,0.000519164,0.0413042,3.0011,9.85369e-06,4.87435,0.212803
2016.0417,303.138,303.127,3.43544,0.370854,1.85519,0.0102017,0.0072385,0.0035537,0.00296316,1.10386e-05,7.2406e-05,0.00205688,7.39038e-06,2.1114e-06,3.18139e-05,3.33233e-08,8.40483e-05,6.78818e-05,9.35121e-07,3.90783e-07,4.84655e-06,4.32457e-06,13.6625,36.0212,8.77292,0.254706,20.548,0.257781,11.0697,0.0106678,0.204678,1.55605,0.230642,-0.285695,0.0019041,0.00498168,-0.526119,0.0107411,0.0169592,0.00487329,0.00289605,-0.526119,0.0155848,2.81643,2.20469,0.000295421,0.0412996,0.000760433,0.00282653,0.000204678,0.000518683,0.0412996,3.23377,9.50177e-06,4.88959,0.215346
2016.1250,303.25,303.274,3.4681,0.375693,1.38643,0.0100309,0.00731469,0.00357806,0.00271626,1.04347e-05,7.08404e-05,0.00206859,6.92907e-06,2.0944e-06,3.15946e-05,4.37711e-08,8.50286e-05,6.63892e-05,9.16421e-07,5.88854e-07,4.87742e-06,4.23114e-06,13.6814,36.0376,8.78146,0.254597,20.547,0.259993,11.0779,0.0107462,0.206435,1.55458,0.230882,-0.28541,0.00202554,0.00497749,-0.526188,0.0108333,0.0169713,0.00491511,0.00289302,-0.526188,0.0156007,2.81647,2.20472,0.000295029,0.0412963,0.00076696,0.00282855,0.000206435,0.000518195,0.0412963,3.05153,9.02347e-06,4.89996,0.217181
2016.2083,303.072,303.087,3.48614,0.373485,1.41753,0.0096675,0.00724579,0.00355072,0.00242172,9.45881e-06,6.94417e-05,0.00207524,6.28128e-06,2.07686e-06,3.53195e-05,4.5996e-08,8.3969e-05,6.31361e-05,1.02792e-06,6.2702e-07,4.80859e-06,4.02456e-06,13.6937,36.0476,8.78829,0.255003,20.546,0.261214,11.0852,0.010796,0.207404,1.55292,0.231052,-0.285146,0.00219046,0.00498642,-0.526264,0.0108841,0.0169822,0.00493818,0.00288959,-0.526264,0.0156123,2.81651,2.20475,0.000295108,0.0412934,0.000770559,0.00283036,0.000207404,0.000517642,0.0412934,2.84931,8.35814e-06,4.90538,0.2182
2016.2917,302.997,303.021,3.48728,0.371934,1.46012,0.00937539,0.00723437,0.0035094,0.00214102,8.87242e-06,6.78986e-05,0.00207604,5.89905e-06,2.04353e-06,3.88857e-05,5.54945e-08,8.18991e-05,6.04129e-05,1.1519e-06,7.13638e-07,4.72773e-06,3.8521e-06,13.6979,36.0514,8.79288,0.256153,20.5456,0.261291,11.0911,0.0108114,0.207465,1.55174,0.231139,-0.28498,0.0022753,0.00501503,-0.526297,0.0108873,0.0169911,0.00493965,0.00288714,-0.526297,0.0156186,2.81654,2.20477,0.000296335,0.0412922,0.000770787,0.00283185,0.000207465,0.000517246,0.0412922,2.71521,7.94259e-06,4.90507,0.218276
2016.3750,303.183,303.175,3.47857,0.35918,1.97539,0.00962483,0.00724997,0.00350701,0.00237486,9.4715e-06,6.94275e-05,0.0020734,6.27658e-06,2.01401e-06,4.53205e-05,4.24089e-08,8.13058e-05,6.24966e-05,1.38735e-06,4.96486e-07,4.69876e-06,3.98369e-06,13.6971,36.0505,8.7961,0.256675,20.5458,0.260702,11.096,0.0108058,0.206997,1.5509,0.231175,-0.28497,0.00222239,0.00502945,-0.526282,0.0108628,0.0169988,0.0049285,0.00288543,-0.526282,0.0156216,2.81658,2.20481,0.000297059,0.0412926,0.000769048,0.00283313,0.000206997,0.000516968,0.0412926,2.92068,8.29059e-06,4.90103,0.217803
2016.4583,303.667,303.645,3.49377,0.326818,2.64226,0.0098425,0.00726549,0.00332787,0.00257701,1.16929e-05,7.06116e-05,0.00207906,7.59005e-06,2.00687e-06,5.0244e-05,3.13381e-08,7.4207e-05,6.42904e-05,1.74278e-06,1.37257e-07,4.42793e-06,4.09955e-06,13.7077,36.064,8.80256,0.257927,20.5471,0.26173,11.1031,0.0108479,0.207813,1.55132,0.231324,-0.285217,0.00167422,0.00506676,-0.526168,0.0109056,0.0170093,0.00494793,0.00288633,-0.526168,0.0156318,2.81663,2.20483,0.00029957,0.0412961,0.000772081,0.00283489,0.000207813,0.000517107,0.0412961,3.3142,9.59693e-06,4.90516,0.218661
2016.5417,305.128,305.075,3.50049,0.29346,3.32471,0.00958359,0.00741104,0.00314558,0.00217255,1.41778e-05,7.05826e-05,0.0020818,7.92212e-06,2.02451e-06,3.4484e-05,3.26028e-08,6.71734e-05,6.16985e-05,1.406e-06,4.41853e-08,4.16468e-06,3.93739e-06,13.7117,36.076,8.80801,0.260754,20.5502,0.262184,11.1096,0.010873,0.208174,1.5533,0.231432,-0.285172,0.00125886,0.00514353,-0.525896,0.0109245,0.0170192,0.00495652,0.0028905,-0.525896,0.0156395,2.81668,2.20487,0.000304018,0.0413041,0.00077342,0.00283653,0.000208174,0.000517765,0.0413041,4.00289,9.94663e-06,4.90371,0.219047
2016.6250,305.255,305.236,3.50366,0.295184,3.10683,0.00967724,0.00743642,0.00319028,0.00224082,1.57395e-05,7.08905e-05,0.00208329,8.39067e-06,2.06075e-06,2.76044e-05,2.34388e-08,6.66209e-05,6.23181e-05,1.12549e-06,2.32031e-08,4.22494e-06,3.97841e-06,13.7123,36.0869,8.81291,0.263671,20.5547,0.262398,11.1157,0.0108904,0.208344,1.55622,0.231517,-0.284774,0.00108416,0.0052196,-0.525491,0.0109334,0.0170284,0.00496057,0.00289662,-0.525491,0.0156458,2.81674,2.2049,0.000308207,0.0413156,0.000774052,0.00283807,0.000208344,0.000518739,0.0413156,4.09347,1.04514e-05,4.89937,0.219234
