time_decimal_year,TSOI,TSOIBNF,ELAI,H2OSOI,TVEG,GPP,AR,HR,NPP,NPP_NUPTAKE,NPP_PUPTAKE,VEGC_TO_LITTER,SNFIX,FNFIX,NGAS,NLEACH,NNETMIN,NUP,FN2O,PLOSS,PNETMIN,PUP,TOTVEGC,TOTECOC,VEGCAG,TOTLITC,SOILC,LEAFC,WOODC,CROOTC,FROOTC,CWDC,TOTVEGN,TOTECON,SMINN,TOTLITN,SOILN,LEAFN,WOODN,FROOTN,CWDN,TOTSOMN,TOTVEGP,TOTECOP,SMINP,TOTLITP,SOILP,LEAFP,WOODP,FROOTP,CWDP,TOTSOMP,ET,TNFIX,VEGCBG,TOTROOTC
1850.8750,268.193,268.675,0,0.0925075,0,0,0.000617111,6.51306e-05,-0.000617111,0,0,0.000428875,0,7.45387e-07,1.77928e-39,1.40398e-16,2.4916e-06,1.21961e-06,4.53052e-40,1.5641e-20,7.82815e-08,1.21961e-07,3.33727,80.4264,1.81065,0.164491,75.9381,0.186957,2.11133,0.00150267,0.186957,0.986504,0.0441896,-0.310328,0.593304,0.00297716,-0.952756,0.00467395,0.00323737,0.00445136,0.0019566,-0.952756,0.00376164,1.7963,1.07109,0.000208614,0.151993,0.000467395,0.000539562,0.000186957,0.000329089,0.151993,0.304142,7.45387e-07,1.52661,0.18846
1850.9583,266.653,267.241,0,0.0925075,0,0,0.000511331,4.57082e-05,-0.000511331,0,0,0.000420652,0,6.98242e-07,1.80403e-41,1.44214e-16,1.58303e-06,1.18835e-06,4.60046e-42,1.60545e-20,5.11432e-08,1.18835e-07,3.31671,80.4276,1.80311,0.183104,75.9378,0.182165,2.10775,0.00141354,0.182165,0.989984,0.0439335,-0.310121,0.593394,0.00337505,-0.952788,0.00455415,0.00323246,0.00433727,0.00196376,-0.952788,0.00374333,1.79631,1.07109,0.000235997,0.151993,0.000455415,0.000538743,0.000182165,0.000330249,0.151993,0.156897,6.98242e-07,1.5136,0.183579
1851.0417,266.355,266.947,0,0.0925075,0,0,0.000469419,3.2179e-05,-0.000469419,0,0,0.000413016,0,6.52334e-07,0,1.49034e-16,1.00531e-06,1.15934e-06,0,1.65803e-20,3.32093e-08,1.15934e-07,3.29873,80.4305,1.79604,0.20079,75.9376,0.177718,2.10434,0.00133359,0.177718,0.993333,0.0436945,-0.30993,0.593454,0.00375458,-0.952803,0.00444298,0.00322775,0.00423139,0.00197064,-0.952803,0.00372621,1.79632,1.07109,0.000261982,0.151992,0.000444298,0.000537959,0.000177718,0.000331365,0.151992,0.0999858,6.52334e-07,1.50269,0.179052
1851.1250,267.963,268.199,0,0.0925075,0,0,0.000550433,2.21402e-05,-0.000550433,0,0,0.000405565,0,6.19521e-07,0,1.52885e-16,6.90814e-07,1.13105e-06,0,1.69981e-20,2.17212e-08,1.13105e-07,3.28072,80.4332,1.78909,0.218297,75.9375,0.173382,2.10094,0.00125823,0.173382,0.996697,0.04346,-0.309744,0.593499,0.00413143,-0.952813,0.00433457,0.00322303,0.00412814,0.00197753,-0.952813,0.00370939,1.79633,1.07109,0.000287731,0.151992,0.000433457,0.000537171,0.000173382,0.000332487,0.151992,0.468918,6.19521e-07,1.49163,0.17464
1851.2083,270.991,271.078,0,0.218237,0,0,0.000642887,0.000525284,-0.000642887,0,0,0.000398047,0,5.96971e-07,2.86052e-05,1.53098e-16,-1.79869e-05,1.10252e-06,1.8989e-06,1.70187e-20,3.65848e-07,1.10252e-07,3.25986,80.4308,1.78202,0.230521,75.9404,0.169008,2.09744,0.00118475,0.169008,1.00002,0.0432221,-0.309776,0.59321,0.00438516,-0.952577,0.00422523,0.00321812,0.00402401,0.00198434,-0.952577,0.00369231,1.79634,1.07109,0.00030399,0.152001,0.000422523,0.000536354,0.000169008,0.000333596,0.152001,0.730552,5.96971e-07,1.47784,0.170193
1851.2917,282.259,280.684,1.2415,0.343704,0.973552,0.00374376,0.001538,0.00175864,0.00220576,6.51712e-08,1.04612e-05,0.000394022,2.84869e-10,6.07131e-07,3.86475e-05,1.30924e-16,2.25658e-05,1.17296e-05,3.67963e-06,1.46118e-20,1.96199e-06,8.68679e-07,3.24607,80.399,1.77809,0.195633,75.9577,0.166678,2.09536,0.00114802,0.166678,0.999589,0.0430864,-0.311772,0.590714,0.00359264,-0.951148,0.00416697,0.00321517,0.00396852,0.00198344,-0.951148,0.00368248,1.79635,1.07112,0.000245388,0.15205,0.000416697,0.000535862,0.000166678,0.000333451,0.15205,1.67827,6.07416e-07,1.46798,0.167826
1851.3750,290.567,288.776,1.48096,0.155766,1.7515,0.00586374,0.0023994,0.00135867,0.00346434,1.72406e-07,2.18869e-05,0.00040919,2.19578e-09,6.63803e-07,2.60387e-07,1.25179e-16,3.5145e-05,2.98238e-05,4.67859e-08,1.39756e-20,1.79262e-06,2.16991e-06,3.28814,80.413,1.7917,0.172351,75.956,0.175537,2.10154,0.00129887,0.175537,0.996487,0.0435212,-0.311945,0.590761,0.00311282,-0.951317,0.00438845,0.00322367,0.00417946,0.00197712,-0.951317,0.00371356,1.79636,1.07113,0.000213295,0.152049,0.000438845,0.000537278,0.000175537,0.000332416,0.152049,2.23066,6.65999e-07,1.49644,0.176836
1851.4583,291.531,290.84,1.60159,0.260449,1.24252,0.00586583,0.00281936,0.00188619,0.00304647,1.8286e-07,2.33414e-05,0.000432366,3.6777e-09,7.21348e-07,3.26404e-05,1.22971e-16,5.55788e-05,3.31091e-05,3.82645e-06,1.37278e-20,2.63415e-06,2.40903e-06,3.35287,80.4553,1.81276,0.159427,75.9496,0.189053,2.11134,0.0015215,0.189053,0.993385,0.0442021,-0.312105,0.590736,0.00284887,-0.951863,0.00472634,0.00323727,0.00450126,0.00197083,-0.951863,0.0037624,1.79637,1.07113,0.000195909,0.152035,0.000472634,0.000539545,0.000189053,0.000331382,0.152035,2.26406,7.25026e-07,1.54011,0.190574
1851.5417,288.433,288.216,1.69581,0.240121,1.03248,0.00383769,0.00243594,0.00162525,0.00140175,1.02336e-07,1.60103e-05,0.000450369,1.37911e-09,7.59735e-07,8.10669e-06,1.1931e-16,5.50405e-05,1.99268e-05,1.24005e-06,1.33254e-20,2.35816e-06,1.46288e-06,3.40254,80.4712,1.82925,0.144423,75.9366,0.199539,2.11915,0.00168579,0.199539,0.987641,0.0447352,-0.312775,0.590954,0.00254197,-0.952965,0.0049885,0.00324819,0.00475093,0.00195917,-0.952965,0.0038007,1.79639,1.07115,0.000176017,0.152005,0.00049885,0.000541365,0.000199539,0.000329468,0.152005,1.59922,7.61114e-07,1.57329,0.201225
1851.6250,282.649,282.908,1.71428,0.286331,0.312983,0.0017849,0.00181441,0.00145041,-2.95097e-05,3.18206e-08,7.31068e-06,0.000453902,1.40649e-10,7.62867e-07,1.49795e-05,1.1661e-16,5.00649e-05,7.18685e-06,2.53001e-06,1.30137e-20,2.10386e-06,5.48962e-07,3.40963,80.4569,1.83263,0.138638,75.925,0.201587,2.12088,0.00170477,0.201587,0.983607,0.0448363,-0.31289,0.591858,0.0024225,-0.953958,0.00503969,0.00325072,0.00479968,0.00195101,-0.953958,0.00380798,1.7964,1.07119,0.000168461,0.151978,0.000503969,0.000541787,0.000201587,0.000328123,0.151978,0.940666,7.63008e-07,1.577,0.203291
1851.7083,271.19,272.237,1.32337,0.239919,0.0348424,0.000247157,0.000933696,0.000614204,-0.000686539,1.32398e-10,7.12867e-08,0.00044726,3.0938e-14,7.37723e-07,2.33561e-06,1.18343e-16,2.24562e-05,1.31421e-06,3.97685e-07,1.31966e-20,8.77439e-07,1.30665e-07,3.38864,80.427,1.82672,0.140174,75.9163,0.197707,2.11823,0.00162511,0.197707,0.981861,0.0446305,-0.312947,0.592721,0.00245425,-0.9547,0.00494269,0.00324719,0.0047073,0.00194753,-0.9547,0.00379331,1.79641,1.07124,0.000171174,0.151959,0.000494269,0.000541198,0.000197707,0.000327541,0.151959,0.485274,7.37723e-07,1.56192,0.199332
1851.7917,259.889,261.844,0.184373,0.0731789,0.000469789,2.65676e-06,0.000535788,4.98692e-05,-0.000533131,0,0,0.000438715,0,6.93487e-07,1.22533e-15,1.33098e-16,2.64917e-06,1.25721e-06,2.72464e-16,1.48292e-20,7.48148e-08,1.25721e-07,3.36595,80.4211,1.81901,0.15665,75.9139,0.192721,2.1147,0.00153023,0.192721,0.984557,0.0443675,-0.312763,0.593021,0.00280328,-0.954907,0.00481805,0.00324238,0.0045886,0.00195312,-0.954907,0.00377456,1.79642,1.07125,0.000195517,0.151954,0.000481805,0.000540397,0.000192721,0.00032844,0.151954,0.102118,6.93487e-07,1.54693,0.194251
1851.8750,255.439,256.631,0,0.0541049,0,0,0.000397091,2.0456e-06,-0.000397091,0,0,0.000430379,0,6.4429e-07,0,1.57545e-16,1.66199e-07,1.2255e-06,0,1.75418e-20,3.93677e-09,1.2255e-07,3.3468,80.4253,1.81144,0.176757,75.9137,0.18786,2.11116,0.00144089,0.18786,0.988069,0.0441097,-0.312555,0.593071,0.00323437,-0.954931,0.00469653,0.00323755,0.00447287,0.00196035,-0.954931,0.00375615,1.79644,1.07125,0.000224705,0.151953,0.000469653,0.000539591,0.00018786,0.00032961,0.151953,0.0696691,6.4429e-07,1.53537,0.189301
1851.9583,264.823,265.217,0,0.0537198,0,0,0.000492811,7.52341e-07,-0.000492811,0,0,0.000422117,0,5.98685e-07,0,1.7265e-16,6.38213e-08,1.19409e-06,0,1.92119e-20,1.47861e-09,1.19409e-07,3.32712,80.4293,1.80387,0.196841,75.9136,0.183045,2.10758,0.00135542,0.183045,0.991652,0.0438529,-0.312351,0.593097,0.00366597,-0.954934,0.00457616,0.0032326,0.00435822,0.0019677,-0.954934,0.00373779,1.79645,1.07124,0.000253873,0.151953,0.000457616,0.000538767,0.000183045,0.000330805,0.151953,0.0990221,5.98685e-07,1.52326,0.184401
1852.0417,259.735,260.583,0,0.0537192,0,0,0.000358438,4.496e-07,-0.000358438,0,0,0.000414445,0,5.57596e-07,0,1.7138e-16,3.86346e-08,1.16495e-06,0,1.90597e-20,8.84781e-10,1.16495e-07,3.30985,80.434,1.79678,0.215504,75.9136,0.178577,2.10418,0.00127876,0.178577,0.995056,0.0436132,-0.312161,0.593118,0.00406773,-0.954935,0.00446445,0.00322788,0.00425184,0.00197467,-0.954935,0.00372062,1.79646,1.07124,0.000281038,0.151953,0.000446445,0.00053798,0.000178577,0.000331939,0.151953,0.0368476,5.57596e-07,1.51307,0.179856
1852.1250,264.774,264.884,0,0.0537238,0,0,0.000528684,2.43108e-07,-0.000528684,0,0,0.00040696,0,5.26046e-07,0,1.03582e-16,2.13778e-08,1.13652e-06,0,1.15133e-20,4.7964e-10,1.13652e-07,3.29166,80.4375,1.78981,0.233731,75.9136,0.17422,2.10078,0.0012065,0.17422,0.998455,0.043378,-0.311978,0.593138,0.00446074,-0.954936,0.00435552,0.00322313,0.00414809,0.00198163,-0.954936,0.00370376,1.79647,1.07124,0.000307624,0.151953,0.000435552,0.000537189,0.00017422,0.000333072,0.151953,0.394666,5.26046e-07,1.50185,0.175426
1852.2083,271.474,271.083,0.210939,0.220997,0.0212409,0.000122863,0.000713388,0.000452842,-0.000590525,0,0,0.000399406,0,5.11213e-07,1.96701e-05,6.13204e-17,-1.55286e-05,1.10785e-06,9.43561e-07,6.81811e-21,3.21926e-07,1.10785e-07,3.26917,80.4319,1.78272,0.24247,75.9186,0.169825,2.09727,0.00113604,0.169825,1.00166,0.0431395,-0.312312,0.59245,0.00463249,-0.954522,0.00424565,0.00321821,0.00404346,0.00198818,-0.954522,0.00368664,1.79648,1.07124,0.000317481,0.151967,0.000424565,0.000536368,0.000169825,0.000334141,0.151967,0.617079,5.11213e-07,1.48646,0.170961
1852.2917,285.408,283.197,1.37649,0.373658,1.08838,0.00366945,0.00168152,0.0021127,0.00198793,6.54736e-08,1.05925e-05,0.000394656,5.77886e-10,5.23952e-07,3.78732e-05,4.8706e-17,2.37215e-05,1.18252e-05,4.89359e-06,5.42896e-21,2.33007e-06,8.776e-07,3.25478,80.3992,1.77829,0.209852,75.9337,0.167064,2.0951,0.00110003,0.167064,1.00088,0.0430036,-0.313396,0.590997,0.00388725,-0.95327,0.00417662,0.00321511,0.00397771,0.00198656,-0.95327,0.00367682,1.79649,1.07128,0.000264019,0.15201,0.000417662,0.000535852,0.000167064,0.000333881,0.15201,1.78662,5.2453e-07,1.4765,0.168164
1852.3750,290.686,289.184,1.46518,0.232477,1.8514,0.00645,0.00248105,0.00183864,0.00396895,2.0037e-07,2.52617e-05,0.000406198,3.09799e-09,5.98707e-07,7.51065e-06,5.20383e-17,4.93506e-05,3.43517e-05,9.4424e-07,5.80545e-21,2.50099e-06,2.50029e-06,3.30282,80.4061,1.78966,0.175506,75.9318,0.173762,2.10118,0.00125171,0.173762,0.995899,0.0434682,-0.313772,0.591061,0.00317926,-0.953457,0.00434407,0.00322346,0.00413719,0.00197638,-0.953457,0.00371015,1.7965,1.0713,0.000216677,0.152007,0.000434407,0.000537243,0.000173762,0.00033222,0.152007,2.68493,6.01805e-07,1.51315,0.175014
1852.4583,291.988,290.814,1.57553,0.276087,1.43629,0.00594454,0.00278569,0.00194348,0.00315884,1.86581e-07,2.4223e-05,0.000427556,3.6541e-09,6.76766e-07,3.47365e-05,7.3064e-17,6.17475e-05,3.34217e-05,3.71651e-06,8.15305e-21,2.8066e-06,2.43603e-06,3.38631,80.4568,1.8107,0.157567,75.9221,0.186144,2.11243,0.00150933,0.186144,0.990903,0.0442672,-0.314118,0.591122,0.00281531,-0.954289,0.00465362,0.00323905,0.004432,0.0019662,-0.954289,0.00376764,1.79652,1.0713,0.000192726,0.151984,0.000465362,0.000539841,0.000186144,0.000330555,0.151984,2.26737,6.8042e-07,1.57561,0.187653
